Part Name,Image,Quantity,Part Type,Source 1,Source 2,Optional,Note
frame,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
drive-motor-bracket,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
drive-motor-cover,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
peel-gear-frame,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
peel-gear,,2,FDM,Download all 3D printed parts at the link at the top of the page.,,,
peel-worm-gear,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
release-lever,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
spool-holder,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
thimble,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
slot-bracket,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
"PLA-filament ",https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/611532_989269_03_front_zoom.jpg,1.2,FIL,https://www.microcenter.com/product/611532/inland-175mm-black-pla-3d-printer-filament-1kg-spool-(22-lbs),,,Units in kg. Print both nozzle-rack and 2x z-gantry in a black color. Print top-light-mount and bottom-light-mount in a white color.
M3-hex-nut,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/905/90592A085p1-b01-digitall@4x_636713274654410000.png?ver=ImageNotFound,11,FST,https://www.mcmaster.com/90592A085/,,,ISO4032
M5-t-slot-nut,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/946/94645a102-@1x_637691238154449529.png?ver=ImageNotFound,1,FST,https://www.mcmaster.com/94645A102/,,,
M3x12mm-flat-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/920/92095A181p1-b01-digitall@2x_636621119072096469.png,2,FST,https://www.mcmaster.com/92095A181/,,,
M3x14mm-flat-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/920/92095A168p1-b01-digitall@2x_636621121852034289.png,2,FST,https://www.mcmaster.com/92095A168/,,,
M3x15mm-flat-head,https://www.mcmaster.com/mvC/Contents/gfx/ImageCache/912/91292a115-@4x_637619456157301135.png,10,FST,https://www.mcmaster.com/91292A115,,,
M5x10mm-socket-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/901/90128a234-@4x_637648793587366175.png,1,FST,https://www.mcmaster.com/90128A234/,,,ISO4762
M3x8mm-self-tapping-flat-head,https://www.mcmaster.com/mvD/Contents/gfx/ImageCache/958/95893a189_5471d27b-8a4e-4cd5-bc6c-43c4b611d281@2x_637901339772075158.png,1,FST,https://www.mcmaster.com/95893A189/,,,
mobo,,1,PCA,,,,Click link above to download source
slot,,1,PCA,,,,Click link above to download source
drive-wheel,,1,PCB,,,,Click link above to download source
light-diffusion,,1,PCB,,,,Click link above to download source
photon-8mm-fid,,1,PCB,,,,Click link above to download source
slot-harness,,1,CHA,,,,Click link above to download source
n20-motor,https://www.makerfabs.com/image/cache/makerfabs/N20%20DC%20Gear%20Motor/N20%20DC%20Gear%20Motor_3-1000x750.jpg,4,MISC,https://www.servocity.com/110-rpm-micro-gear-motor/,,,1:210 gear ratio.
right-angle-n20,https://sharvielectronics.com/wp-content/uploads/2022/06/N20-3V-50-RPM-Micro-Metal-Gear-Motor-With-Encoder_-Sharvielectronics.jpg,2,MISC,https://www.aliexpress.com/w/wholesale-worm-n20-encoder.html?catId=0&initiative_id=SB_20230324123628&SearchText=worm+n20+encoder,,,14-tick per revolution encoder. 1:1030 gear ratio gearbox.
shaft-collar,https://m.media-amazon.com/images/I/51dc5w8vG5L._AC_.jpg,2,MISC,https://www.amazon.com/gp/product/B01EA912P8/ref=ppx_yo_dt_b_asin_title_o09_s00?ie=UTF8,,,
